Season,Episode,Title,Rating,Votes,Users_reviews,Critics_reviews,US_Viewers
8,1,Winterfell,7.6,121831,655,71,11.76
8,3,"The Long Night",7.5,200283,3749,71,12.02
8,6,"The Iron Throne",4.1,220581,7358,70,13.61
7,1,Dragonstone,8.6,46297,88,66,10.11
8,4,"The Last of the Starks",5.5,152769,2277,62,11.8
8,5,"The Bells",6,177957,3906,61,12.48
8,2,"A Knight of the Seven Kingdoms",7.9,119961,537,59,10.29
7,2,Stormborn,8.9,39903,54,55,9.27
7,3,"The Queen's Justice",9.2,41611,49,53,9.25
7,4,"The Spoils of War",9.8,78989,94,53,10.17
