Season,Episode,Title,Rating,Votes,Users_reviews,Critics_reviews,US_Viewers
6,10,"The Winds of Winter",9.9,128642,182,46,8.89
6,9,"Battle of the Bastards",9.9,185033,253,49,7.66
3,9,"The Rains of Castamere",9.9,86759,106,29,5.22
5,8,Hardhome,9.9,87059,89,36,7.01
7,4,"The Spoils of War",9.8,78989,94,53,10.17
2,9,Blackwater,9.7,39643,34,24,3.38
4,6,"The Laws of Gods and Men",9.7,42269,42,29,6.4
4,2,"The Lion and the Rose",9.7,45860,30,34,6.31
6,5,"The Door",9.7,63527,53,46,7.89
4,10,"The Children",9.7,37976,41,26,7.09
