Season,Episode,Title,Rating,Votes,Users_reviews,Critics_reviews,US_Viewers
8,6,"The Iron Throne",4.1,220581,7358,70,13.61
8,3,"The Long Night",7.5,200283,3749,71,12.02
6,9,"Battle of the Bastards",9.9,185033,253,49,7.66
8,5,"The Bells",6,177957,3906,61,12.48
8,4,"The Last of the Starks",5.5,152769,2277,62,11.8
6,10,"The Winds of Winter",9.9,128642,182,46,8.89
8,1,Winterfell,7.6,121831,655,71,11.76
8,2,"A Knight of the Seven Kingdoms",7.9,119961,537,59,10.29
5,8,Hardhome,9.9,87059,89,36,7.01
3,9,"The Rains of Castamere",9.9,86759,106,29,5.22
